pitanje,odg1,odg2,odg3,odg4,tocanOdg
Kada počinje godišnje doba zima?, 21.12., 21.3.,21.6.,23.9.,1
Koliko stranica ima geometrijski lik pravokutnik?,2,3,4,5,3
Koji je glavni grad Hrvatske?,Split,Osijek,Zadar,Zagreb,4
Kako se zove naše lijepo plavo more?,Jonsko,Talijansko, Baltičko,Jadransko,4
Čudnovate zgode šegrta hlapića napisao/napisala je:,August Šenoa,Ivana Brlić-Mažuranić,Dobriša Cesarić,Marko Marulić,2
Grad ne ušću rijeke Cetine je:,Omiš,Split,Šibenik,Makarska,1
Navijači Hajduka nazivaju se: ,Bad Blue Boysi,Kohorta,Torcida,Funcuti,3
Sport koji se igra na ledu nazivamo:,Nogomet,Košarka,Plivanje,Hokej,4
Za koju životinju kažemo da je čovjekov vjerni prijatelj?,Krokodil,Pas,Lav,Zlatna ribica,2
Izbaci uljeza! Što od navedenog nije padalina?,Snijeg,Kiša,Mraz,Sunce,4
Koje navedeno voće NE raste na stablu: ,Lubenica,Kruška,Jabuka, Breskva,1
Grad u Istri je: ,Dubrovnik,Pula,Osijek,Rab,2
Koliko 1 sat ima minuta?,30,40,50,60,4
2x=16 ako x iznosi:,4,6,8,10,3
Prijevod za 'Good morning' glasi...,Dobro jutro!,Dobar dan.,Dobra večer., Laku noć...,1
Koja navedena životinja živi u moru:, žaba, dupin,ptica,mrav,2
Prve piramide izgrađe su u:, Irskoj,Španjolskoj,Egiptu,Kini,3
Što od naveenog nije marka automobila: ,BMW,Nokia,Audi,Mazda,2
Geometrijski lik je trokut a njemu slično geometrijsko tijelo je..., Kocka,Valjak,Kvadar,Piramida,4
Izbaci uljeza među nebeskim tijelima!,Zvijezda,Oblak,Sunce,Mjesec,2
